YEAR_STATION,YEAR,STATION,WOLF_EEL,SABLEFISH,ARROWTOOTH_FLOUNDER,PACIFIC_SANDDAB,SPECKLED_SANDDAB,SCULPIN,REX_SOLE,GREENLING,SLENDER_SOLE,PACIFIC_HAKE,DOVER_SOLE,LINGCOD,PAINTED_GREENLING,RIGHT_EYED_FLATFISH,TURBOT,SAND_SOLE,CABEZON,BROWN_ROCKFISH,DARKBLOTCHED_ROCKFISH,CALICO_ROCKFISH,SPLITNOSE_ROCKFISH,GREENSTRIPED_ROCKFISH,WIDOW_ROCKFISH,YELLOWTAIL_ROCKFISH,CHILIPEPPER,SQUARESPOT_ROCKFISH,SHORTBELLY_ROCKFISH,COWCOD,BLACK_ROCKFISH,BLACKGILL_ROCKFISH,BLUE_ROCKFISH,BOCACCIO,CANARY_ROCKFISH,YELLOWMOUTH_ROCKFISH,YELLOWEYE_ROCKFISH,BANK_ROCKFISH,STRIPETAIL_ROCKFISH,HALFBANDED_ROCKFISH,OLIVE_ROCKFISH,PYGMY_ROCKFISH,SHARPCHIN_ROCKFISH,ROCKFISH,ROSY_ROCKFISH_GROUP,PACIFIC_TOMCOD,COPPER_ROCKFISH_GROUP,IRISH_LORD,sdiv,nspec,eve,LCBD,LONDD,LATDD,PROVINCE,SURVEY,CRUISE,STATION_BOTTOM_DEPTH,AREA,ACTIVE,clust_6,core,cpue,MDS1,MDS2,MDS3,centroid_distance,rar50,fMDS1,fMDS2,fMDS3,centroid_distance_fd,feve,fric,fdiv
1990_124,1990,124,0,0,0,0.366204096,0.828302217,0,0,0,0,0,0,0.23104906,0,0,0,0,0,0,0,0,0,0,0,0,0,0.366204096,1.622511483,0,0,0,0.23104906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.508393927,6,0.841849896,0.304716995,-122.375,36.98333333,CENTRAL,RREAS,9005,128,Davenport,Y,3,YES,3.645320013,0.213886976,-0.524962885,0.436735663,0.677347871,2,-0.044694717,-0.191557975,0.173317439,0.260839316,0.610266,0.006559659,0.949617982
1990_125,1990,125,0,0,0,0.366204096,1.133732461,0,0,0,0,0.9026834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.030347484,0,0,0,0,0.23104906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.469330775,5,0.912945406,0.16048533,-122.425,36.98333333,CENTRAL,RREAS,9005,446,Davenport,Y,3,YES,3.664016502,0.327739358,-0.405425745,-0.017003869,0.475046574,3,-0.1951631,-0.018114781,0.191894657,0.266961559,0.718052,0.002689143,0.851513884
1990_126,1990,126,0,0,0,0.366204096,0.597253156,0,0,0,0,0.366204096,0,0,0,0,0.23104906,0,0,0,0,0,0,0,0.597253156,0.366204096,0.963457253,0.366204096,1.364781521,0,0,0,0.597253156,0,0,0,0,0,0.366204096,0,0.23104906,0,0,0,0,0,0,0,2.334141412,12,0.93932729,0.257239543,-122.5916667,36.98333333,CENTRAL,RREAS,9005,432,Davenport,Y,2,YES,6.413116844,-0.085742527,-0.62455022,0.169346058,0.549668467,5,-0.121762053,0.048588272,-0.100999718,0.156270054,0.594368,0.120183924,0.743466812
1990_131,1990,131,0,0,0,0.536479304,0.597253156,0,0,0,0,0.23104906,0.23104906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23104906,1.18511602,0,0,0,0.366204096,0,0,0,0,0,0,0,0.23104906,0,0,0,0,0,0,0,1.882674482,8,0.905374502,0.275647831,-122.5666667,37.275,CENTRAL,RREAS,9005,82,Pescadero,Y,3,YES,3.609248818,0.355176407,-0.508504991,0.280239954,0.645351154,3,-0.122697829,-0.076444053,0.007165327,0.134507787,0.61723,0.035626881,0.873664164
1990_132,1990,132,0,0,0,0.23104906,0.366204096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.648636716,0,0,0,0,0,0,0,0,0,0.23104906,0,0,0,0,0,0,0,0,0,1.287565096,4,0.928780214,0.477260381,-122.65,37.275,CENTRAL,RREAS,9005,95,Pescadero,Y,3,YES,1.476938933,0.663332406,-0.709247842,0.304515296,0.986914206,NA,NA,NA,NA,NA,NA,NA,NA
1990_133,1990,133,0,0,0,1.364781521,0.767528364,0,0,0,0,0.924196241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46209812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.317240682,4,0.950186586,0.112045554,-122.8166667,37.275,CENTRAL,RREAS,9005,184,Pescadero,Y,3,YES,3.518604246,0.383663205,-0.262386512,0.051756494,0.464350747,NA,NA,NA,NA,NA,NA,NA,NA
1990_134,1990,134,0,0,0,0.924196241,1.386294361,0,0,0,0,1.563782627,0.23104906,0,0,0,0,0,0,0,0,0,0,0,0.998577425,0,0,0.23104906,0.23104906,0,0,0,0,0,0,0,0,0,0,0,0,0.46209812,0,0,0.23104906,0,0,0,1.935188264,9,0.880741689,0.120711358,-122.9833333,37.275,CENTRAL,RREAS,9005,518,Pescadero,Y,3,YES,6.259145015,0.246975572,-0.187464219,-0.148966647,0.324514473,5,-0.0039698,-0.172973405,-0.042945802,0.177383011,0.584304,0.039784945,0.745135386
1990_138,1990,138,0,0,0,0,1.521449397,0,0,0,0,0,0,1.059351277,0,0,0,0,0,0,0,0,0,0,0.366204096,1.014840813,0,0,1.341783897,0,0.23104906,0,0.23104906,0.366204096,0.366204096,0,0,0,0.23104906,0,0,0,0,0,0,0,0,0,2.056570863,10,0.89315699,0.339999789,-122.9083333,37.7,CENTRAL,RREAS,9005,55,Gulf of the Farallones,Y,2,YES,6.729184853,-0.158106587,-0.355436583,0.630577775,0.715938774,4,0.107978552,-0.174578373,-0.052768035,0.217336228,0.670355,0.038724679,0.838895481
1990_139,1990,139,0,0,0,0,1.560710409,0,0,0,0,0.98147966,0,0.23104906,0,0,0,0,0,0.597253156,0,0,0,0,0,0,0,0,0.46209812,0,0,0,0,0.23104906,0.23104906,0,0,0,0,0,0,0,0,0,0,0,0,0,1.691091249,7,0.869048352,0.280719733,-122.8666667,37.79166667,CENTRAL,RREAS,9005,55,Gulf of the Farallones,Y,3,YES,4.294688526,0.430861837,-0.389641804,-0.252255521,0.593148206,4,-0.005683747,-0.11370064,-0.032339652,0.117317146,0.664794,0.055703978,0.902389163
1990_152,1990,152,0,0,0,1.245889873,1.110734837,0,0,0,0,0.536479304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46209812,0,0,0,0,0,0.23104906,0,0,0,0,0,0,0,0,0,0,0,0,0,1.455222494,5,0.904179449,0.126740107,-123.0416667,37.65833333,CENTRAL,RREAS,9005,108,Farallones Outside,Y,3,YES,3.586251194,0.414291046,-0.173943517,0.137779132,0.497206762,NA,-0.053610657,-0.280842703,-0.273786564,0.392943266,0.593955,0.002455474,0.868153027
1990_154,1990,154,0,0,0,2.4508137,2.433715935,0,0,0,0,2.469510189,0,0,0,0,0,0,0,0,0,0,0,0,0.23104906,0.23104906,0,0,0.366204096,0,0,0,0.23104906,0.366204096,0.366204096,0,0,0,0,0,0.23104906,0,0,0,0,0,0,0,1.797120162,10,0.780479031,0.05486202,-123.2083333,37.65833333,CENTRAL,RREAS,9005,1301,Farallones Outside,Y,2,YES,9.376848354,-0.006756451,-0.098781401,-0.053107954,0.048327153,3,-0.066992821,-0.087773833,-0.066566783,0.121916452,0.7045,0.079023492,0.929357921
1990_156,1990,156,0,0,0,1.460675545,1.290400337,0,0,0,0,1.31708124,0,0,0,0,0,0,0.23104906,0,0,0,0,0,0.693147181,0,0.23104906,0,0.998577425,0,0.23104906,0,0,0,0,0,0,0,0,0,0,0.23104906,0,0,0,0,0,0,1.954237633,9,0.889411426,0.038760728,-123.1383301,37.74333496,CENTRAL,RREAS,9005,91,Farallones Outside,Y,1,YES,6.684077967,0.12406549,-0.191367349,0.017452898,0.195404341,5,0.004025766,-0.14376011,-0.070376915,0.159605133,0.516985,0.069499103,0.924925572
1990_160,1990,160,0,0,0,0,1.572832957,0,0,0,0,0.879685777,0,0,0,0,0,0,0,0,0,0,0,0,0.46209812,0,0,0,0.597253156,0,0,0,0.23104906,0,0.366204096,0,0,0,0,0,0,0,0,0,0,0,0,0,1.600942912,6,0.89350242,0.249091719,-123.3166667,37.88333333,CENTRAL,RREAS,9005,91,Farallones Outside,Y,3,YES,4.109123167,0.432942526,-0.200174545,-0.323798561,0.567540957,NA,0.005905079,-0.233409401,-0.069562327,0.243131207,0.729936,0.020287819,0.909833814
1990_162,1990,162,0,0,0,0.23104906,0.23104906,0,0,0,0,0.963457253,0,0,0,0,0,0,0,0,0,0,0,0,0.597253156,0.366204096,0,0.366204096,0.23104906,0,0,0,0,0.46209812,0.23104906,0,0,0,0,0,0,0,0,0,0,0,0,0,2.061092555,9,0.938043172,0.391208244,-123.5,37.88333333,CENTRAL,RREAS,9005,1328,Farallones Outside,Y,4,YES,3.679412963,0.337538851,-0.634927709,-0.527301705,0.812916125,NA,-0.067013743,-0.098886015,-0.078536343,0.136482083,0.791512,0.073657408,0.829355092
1990_165,1990,165,0,0,0,1.030347484,3.200568852,0,0,0,0,0,0.366204096,2.545101295,0,0,0,0,0,0.46209812,0,0,0,0,0,0,0,0,0.799298424,0,0,0,0.23104906,0.597253156,0.732408192,0,0,0,0.23104906,0,0,0,0,0.366204096,0,0.23104906,0,0,2.072296081,12,0.833953012,0.259094785,-123,38.16666667,CENTRAL,RREAS,9005,55,Point Reyes,Y,2,YES,10.7926309,-0.0759333,0.228907371,0.606156298,0.728416777,4.6198675,0.06523978,-0.096758236,-0.049411874,0.132200561,0.64602,0.086990741,0.856166817
1990_167,1990,167,0,0,0,1.245889873,1.110734837,0,0,0,0,1.762755677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23104906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.228617393,4,0.886258512,0.116827985,-123.1666667,38.16666667,CENTRAL,RREAS,9005,91,Point Reyes,Y,4,YES,4.350429447,0.326430271,-0.233292885,-0.109716854,0.399770464,3,NA,NA,NA,NA,NA,NA,NA
1990_170,1990,170,0,0,0,1.098612289,1.039720771,0,0,0,0,4.849521539,0.34657359,0,0,0,0,0,0,0,0,0,0,0,0,0,0.549306144,0,0.693147181,0,0,0,0,0.34657359,0.34657359,0,0,0,0,0,0,0,0,0,0,0,0,0,1.567053099,8,0.753592792,0.087791743,-123.3666667,38.16666667,CENTRAL,RREAS,9005,183,Point Reyes,Y,1,YES,9.270028695,-0.063421805,-0.265523863,-0.282864818,0.290032732,2.801801802,0.037974827,-0.097658816,-0.023111403,0.111159537,0.66823,0.08832051,0.699114056
1991_109,1991,109,0,0,0,1.762755677,2.740582576,0,0.366204096,0,0.23104906,2.865088242,0,0,0,0.23104906,0.23104906,0.732408192,0,0.767528364,0,0,0,0,0.23104906,0.23104906,0.597253156,0,1.290400337,0,0,0,0,0,0.46209812,0,0,0,0,0,0,0,0,0,0,0,0,0,2.23458811,14,0.846737007,0.017838032,-122.0333333,36.58333333,CENTRAL,RREAS,9105,608,Monterey Bay Outside,Y,2,YES,12.73956406,-0.116803627,-0.000306017,-0.098200021,0.148312194,6.431548303,0.034685809,0.019365345,-0.053399145,0.072610896,0.676425,0.215660153,0.919011733
1991_110,1991,110,0,0,0,2.074192089,2.744943427,0,0.767528364,0,0.23104906,3.16124022,0.23104906,0,0,0.648636716,0,0,0,0.46209812,0,0,0,0,0.23104906,0.366204096,0.23104906,0,1.341783897,0,0,0,0,0.23104906,0.46209812,0,0,0,0,0,0,0,0,0,0,0,0,0,2.195187382,14,0.831807162,0,-122.175,36.58333333,CENTRAL,RREAS,9105,2304,Monterey Bay Outside,Y,2,YES,13.18397035,-0.136589947,0.034124985,-0.104414604,0.187224995,6.401236288,0.06483538,-0.005104897,-0.045919076,0.08879225,0.672971,0.223502025,0.878764874
1991_112,1991,112,0.099021026,0,0,0.799774566,1.640092882,0.099021026,0.099021026,0.198042052,0,0,0.099021026,1.963755584,0,0.277987164,0,0,0,0.652049742,0,0,0,0,1.542329275,0.837661597,1.788321741,0.297063077,2.484022083,0,0.434931777,0,1.306314367,0.709973329,1.671376767,0,0,0,1.180807167,0.229919702,0,0.93989303,0,0,0,0,0.099021026,0,2.776604962,23,0.88553969,0.268096159,-121.9466634,36.65500081,CENTRAL,RREAS,9105,73,Monterey Bay Inside,Y,2,YES,19.44942103,-0.618632808,0.390352037,0.151389282,0.784927657,12.50432679,0.060873363,0.030330848,-0.103488725,0.129124727,0.38971,0.350361367,0.82992668
1991_113,1991,113,0.23104906,0,0,2.01022842,2.533634153,0,0.23104906,0,1.133732461,4.758698111,0,0,0,0.46209812,0.23104906,0.23104906,0,0.693147181,0,0,0,0,0.23104906,0.23104906,0,0,0.879685777,0,0,0,0,0,0.366204096,0,0,0,0,0,0,0,0,0.23104906,0,0,0,0,2.126999417,15,0.785435548,0.06452567,-122.05,36.64666748,CENTRAL,RREAS,9105,900,Monterey Bay Outside,Y,2,YES,14.45477174,-0.171451567,-0.020832766,-0.200484475,0.227040533,3.474572033,0.035409944,0.022350551,-0.056603232,0.076238867,0.60647,0.225922997,0.901155843
1991_114,1991,114,0.138629436,0,0,0.876405327,0.693147181,0,0,0,0,1.163422232,0.415888308,0.876405327,0,0,0,0.138629436,0,0.277258872,0.138629436,0,0,0,0.277258872,0.277258872,0.358351894,0.138629436,0.790248744,0,0,0,0.358351894,0,0.554517744,0,0,0,0.358351894,0,0,0.358351894,0,0,0,0,0.277258872,0.138629436,2.785767751,20,0.929911965,0.142408305,-121.8666667,36.76666667,CENTRAL,RREAS,9105,73,Monterey Bay Inside,Y,3,YES,8.605625108,0.164515091,-0.220105525,-0.098875176,0.245486275,6,0.071594143,0.013706005,-0.105865563,0.13447464,0.619172,0.466585799,0.896755257
1991_115,1991,115,0,0,0.099021026,0.526982779,2.411497196,0.198042052,0.099021026,0,0,0,0.099021026,0.610952303,0.099021026,0.297063077,0,0.099021026,0,0.198042052,0,0,0,0,0.45400769,0.495105129,1.223711908,0.198042052,1.556040711,0,0,0,0.45400769,0.198042052,0.90801538,0,0,0,0.255965638,0.099021026,0,0.808994354,0,0,0.099021026,0,0,0.099021026,2.685381708,24,0.844976674,0.214796288,-121.9083333,36.70833333,CENTRAL,RREAS,9105,91,Monterey Bay Inside,Y,2,YES,11.58668027,-0.31007942,0.26216768,0.376330886,0.616849908,7,0.066156921,0.049588538,-0.134690239,0.162415439,0.535031,0.553032993,0.868102026
1991_116,1991,116,0,0,0,1.473541714,2.288740799,0,0.138629436,0,0.138629436,2.647709026,0.138629436,0,0,0.277258872,0,0.138629436,0,1.373386657,0,0,0,0,0.138629436,0,0.358351894,0.138629436,0.38918203,0,0,0,0,0,0.54161004,0,0,0,0.138629436,0,0,0.277258872,0,0,0,0,0,0,2.192254124,16,0.79068836,0.070367545,-121.9766602,36.73999837,CENTRAL,RREAS,9105,287,Monterey Bay Inside,Y,1,YES,10.59744596,-0.005205827,-0.083459202,-0.142058485,0.119791315,5.552187996,0.060128152,0.005138976,-0.073666113,0.102166576,0.61454,0.306575674,0.858696984
1991_117,1991,117,0,0,0,2.706565418,2.662054953,0,0.648636716,0,0.767528364,4.370959513,0,0,0,0.366204096,0,0,0,1.766105789,0.46209812,0,0,0,0.366204096,0,1.329661349,0,1.261396545,0,0,0,0.23104906,0.536479304,1.364781521,0,0,0,0,0,0,0.23104906,0,0,0,0,0,0,2.357637621,15,0.870603152,0.073081768,-122.1083333,36.7,CENTRAL,RREAS,9105,1920,Monterey Bay Outside,Y,2,YES,19.0707739,-0.325021958,0.084443693,-0.159793271,0.36359989,5.245399619,0.043706585,-0.013304905,-0.029427328,0.063502845,0.702727,0.16156343,0.902041598
1991_119,1991,119,0,0,0,0.970406053,1.781630723,0.138629436,0.138629436,0,0,2.925295266,0.138629436,1.513572521,0,0.138629436,0,0,0,1.271221532,0.138629436,0,0,0,0,0.54161004,0.138629436,0.219722458,0.358351894,0,0,0,0.415888308,0.138629436,0.138629436,0,0,0,0.554517744,0,0,0.358351894,0,0,0,0,0,0,2.420950644,19,0.822211032,0.133012935,-121.9833333,36.84666748,CENTRAL,RREAS,9105,91,Monterey Bay Inside,Y,1,YES,12.01960392,-0.098644148,-0.186207332,-0.297454578,0.276387543,5.438059345,0.065420684,0.002992814,-0.088966667,0.116844399,0.491737,0.369338238,0.868351467
1991_123,1991,123,0,0,0,2.022808529,1.18511602,0,0.46209812,0.23104906,0,0.46209812,0.23104906,0,0,0,0,0,0,0.366204096,0,0,0,0,0,0.23104906,0.23104906,0.23104906,0.828302217,0,0,0,0.597253156,0,0.536479304,0,0,0,0.693147181,0,0,0,0,0,0,0,0,0,2.382040455,14,0.902610104,0.085775852,-122.2916667,36.98333333,CENTRAL,RREAS,9105,82,Davenport,Y,1,YES,8.308752046,0.093107064,0.0750722,0.161327306,0.3080836,8,0.05780511,-0.002521732,-0.076218648,0.102241956,0.633566,0.303628736,0.889521943
1991_124,1991,124,0,0,0,3.327448314,2.96429538,0,0.597253156,0,0.23104906,1.452236276,0,0.23104906,0,0.693147181,0,0,0,0.23104906,0,0,0,0,0.46209812,0,0.23104906,0.23104906,0.597253156,0,0,0,0,0,0.767528364,0,0,0,0,0,0,0.23104906,0,0,0,0,0.23104906,0,2.206343046,15,0.814734713,0.058702677,-122.375,36.98333333,CENTRAL,RREAS,9105,128,Davenport,Y,2,YES,12.47860337,-0.077695217,0.145243465,0.057870354,0.278503898,7.079598537,0.029896888,-0.0094076,-0.05633641,0.069544676,0.693672,0.208518432,0.885299686
1991_125,1991,125,0,0,0,2.775666913,3.405612457,0,1.290400337,0,0.963457253,2.511587552,0,0,0,0.46209812,0,0,0,0.366204096,0,0,0,0,0,0,0.597253156,0,0.597253156,0,0,0,0,0.23104906,0,0,0,0,0.23104906,0,0,0,0,0,0,0,0,0,2.032099917,11,0.847451167,0.041691802,-122.425,36.98333333,CENTRAL,RREAS,9105,446,Davenport,Y,2,YES,13.43163116,-0.1170948,0.098216888,-0.060254551,0.226092929,6.083532044,-0.10891128,0.102581303,0.050730522,0.151006092,0.7188,0.03019425,0.919261882
1991_126,1991,126,0,0,0,1.724426236,2.741877099,0.173286795,0.447939867,0,0.34657359,4.095591448,0,0,0,0.274653072,0,0,0,0.34657359,0,0,0,0,0,0,0,0,2.206316488,0,0,0,0,0.173286795,0.794513458,0,0,0,0.173286795,0,0,0,0,0,0,0,0,0,1.959344742,12,0.788498065,0.025664171,-122.5916667,36.98333333,CENTRAL,RREAS,9105,432,Davenport,Y,2,YES,13.49832523,-0.207733004,-0.044584172,-0.133176693,0.200292745,4.712943486,0.022998533,-0.009114357,-0.010605232,0.037031773,0.622458,0.114283018,0.880929824
1991_131,1991,131,0,0,0,1.95073416,2.55116497,0,0.23104906,0,0,3.314748515,0.536479304,0,0,0.366204096,0,0,0,0,0,0,0,0,1.843143029,1.059351277,0.23104906,0.366204096,2.273702491,0,0,0,0.597253156,0.23104906,1.521449397,0,0,0,0.693147181,0,0,0,0,0,0,0.366204096,0.23104906,0,2.474444592,17,0.873370191,0.056862701,-122.5666667,37.275,CENTRAL,RREAS,9105,82,Pescadero,Y,2,YES,18.36398201,-0.338248043,0.088965244,-0.161540032,0.376788463,5.908178459,0.064907057,-0.013997016,-0.068124119,0.102575289,0.580575,0.258960593,0.83044094
1991_132,1991,132,0,0,0,0.34657359,2.13833306,0,0,0,0.549306144,1.81879308,0.693147181,0,0,0,0,0.34657359,0,0,0,0,0,0,0,0,0,0,0.549306144,0,0,0,0,0,0.804718956,0,0,0,0,0,0,0,0,0.34657359,0,0,0,0,1.958217892,9,0.891222919,0.134833908,-122.65,37.275,CENTRAL,RREAS,9105,95,Pescadero,Y,2,YES,7.593325336,0.200548828,-0.013358906,-0.292894303,0.37266336,6,0.103081216,-0.033262964,-0.007841026,0.119652047,0.778456,0.130462935,0.794291801
1991_133,1991,133,0,0,0,0.46209812,1.612093969,0,0.366204096,0,0.693147181,2.340361321,0,0,0.23104906,0.46209812,0,0,0,0,0.23104906,0,0,0,1.229626485,0,0,0,1.133732461,0,0,0,0.828302217,0.23104906,0.998577425,0,0,0,0.366204096,0,0,0.366204096,0,0.23104906,0,0,0,0,2.502826383,16,0.902703599,0.090509114,-122.8166667,37.275,CENTRAL,RREAS,9105,184,Pescadero,Y,1,YES,11.78284583,-0.101595645,0.054851765,-0.349722784,0.361884745,8,0.053368252,0.020252076,-0.070768388,0.097492799,0.703854,0.261578244,0.866387284
